bodyType,brand,color,engineDisplacement,enginePower,fuelType,mileage,modelDate,model_info,numberOfDoors,sell_id,vehicleTransmission,vhp,gear,wheel,price,sample
лифтбек,AUDI,чёрный,3.0,310,бензин,130000,2013,A7,5.0,1102417385,роботизированная,Оригинал,полный,Левый,1500000,1
внедорожник 5 дв.,AUDI,чёрный,1.4,150,бензин,19300,2017,Q3,5.0,1102658323,роботизированная,Оригинал,передний,Левый,1950000,1
седан,AUDI,серый,1.8,88,бензин,377720,1990,80,4.0,1102704512,механическая,Оригинал,передний,Левый,80000,1
внедорожник 5 дв.,AUDI,чёрный,2.0,249,бензин,70000,2017,Q5,5.0,1101987854,роботизированная,Дубликат,полный,Левый,2035000,1
седан,AUDI,чёрный,1.8,190,бензин,77000,2015,A6,4.0,1101402687,роботизированная,Оригинал,передний,Левый,1225000,1
внедорожник 5 дв.,AUDI,чёрный,2.0,180,бензин,97573,2016,Q5,5.0,1101701943,автоматическая,Оригинал,полный,Левый,1650000,1
седан,AUDI,синий,2.3,133,бензин,786115,1993,100,4.0,1102105220,механическая,Оригинал,передний,Левый,69000,1
лифтбек,AUDI,красный,3.0,340,бензин,11634,2018,A7,5.0,1101836123,роботизированная,Оригинал,полный,Левый,4940000,1
внедорожник 5 дв.,AUDI,оранжевый,2.0,177,дизель,98000,2012,Q3,5.0,1102465243,роботизированная,Оригинал,полный,Левый,1115000,1
внедорожник 5 дв.,AUDI,белый,2.0,211,бензин,137000,2010,Q5,5.0,1101700775,роботизированная,Оригинал,полный,Левый,845000,1
седан,AUDI,чёрный,2.8,204,бензин,92000,2013,A6,4.0,1101932243,роботизированная,Оригинал,полный,Левый,1049000,1
седан,AUDI,синий,2.0,211,бензин,131000,2009,A4,4.0,1102502248,роботизированная,Оригинал,полный,Левый,625000,1
внедорожник 5 дв.,AUDI,серебристый,3.0,238,дизель,183159,2009,Q7,5.0,1102524246,автоматическая,Оригинал,полный,Левый,1300000,1
внедорожник 5 дв.,AUDI,оранжевый,1.4,150,бензин,10770,2019,Q3,5.0,1102150455,роботизированная,Оригинал,передний,Левый,2980000,1
купе,AUDI,серый,1.8,160,бензин,203000,2010,A5,2.0,1102579034,вариатор,Оригинал,передний,Левый,644000,1
универсал 5 дв.,AUDI,серебристый,2.9,450,бензин,21700,2018,RS4,5.0,1102227625,автоматическая,Оригинал,полный,Левый,6270000,1
внедорожник 5 дв.,AUDI,серый,2.0,225,бензин,85000,2013,Q5,5.0,1102556972,автоматическая,Оригинал,полный,Левый,1299000,1
внедорожник 5 дв.,AUDI,чёрный,3.0,238,дизель,136451,2011,Q7,5.0,1102553314,автоматическая,Оригинал,полный,Левый,1399000,1
лифтбек,AUDI,чёрный,3.0,245,дизель,100303,2014,A7,5.0,1102624446,роботизированная,Оригинал,полный,Левый,2200000,1
седан,AUDI,чёрный,1.4,125,бензин,50101,2015,A3,4.0,1102685208,роботизированная,Оригинал,передний,Левый,1176000,1
седан,AUDI,серебристый,3.0,300,бензин,98000,2012,A6,4.0,1101992143,роботизированная,Оригинал,полный,Левый,1045000,1
внедорожник 5 дв.,AUDI,чёрный,3.0,249,дизель,116065,2016,Q7,5.0,1102012473,автоматическая,Оригинал,полный,Левый,3152000,1
купе,AUDI,красный,1.8,160,бензин,47781,2010,A5,2.0,1102367347,вариатор,Оригинал,передний,Левый,937000,1
седан,AUDI,чёрный,2.0,130,бензин,138000,2007,A4,4.0,1102587886,вариатор,Оригинал,передний,Левый,479000,1
седан,AUDI,серый,2.0,245,бензин,8616,2019,A6,4.0,1102712820,роботизированная,Оригинал,полный,Левый,3599000,1
универсал 5 дв.,AUDI,серый,2.5,180,дизель,250000,2002,ALLROAD,5.0,1102195217,автоматическая,Дубликат,полный,Левый,430000,1
лифтбек sportback,AUDI,серебристый,2.0,180,бензин,105986,2009,A5,5.0,1102717761,вариатор,Оригинал,передний,Левый,880800,1
внедорожник 5 дв.,AUDI,синий,3.0,245,дизель,156000,2014,Q7,5.0,1102708935,автоматическая,Оригинал,полный,Левый,1795000,1
внедорожник 5 дв.,AUDI,серебристый,3.0,249,дизель,27176,2019,Q8,5.0,1102712819,автоматическая,Оригинал,полный,Левый,6749000,1
седан,AUDI,зелёный,3.0,290,бензин,174480,2009,A6,4.0,1102192789,автоматическая,Оригинал,полный,Левый,788000,1
внедорожник 5 дв.,AUDI,серый,3.0,249,дизель,15,2020,Q8,5.0,1102712816,автоматическая,Оригинал,полный,Левый,7149000,1
внедорожник 5 дв.,AUDI,серый,2.0,180,бензин,65755,2017,Q3,5.0,1102709391,роботизированная,Оригинал,полный,Левый,1920000,1
внедорожник 5 дв.,AUDI,белый,2.0,211,бензин,107366,2011,Q3,5.0,1101732831,роботизированная,Оригинал,полный,Левый,949000,1
седан,AUDI,коричневый,1.8,170,бензин,77000,2014,A4,4.0,1102632019,вариатор,Оригинал,передний,Левый,895000,1
седан,AUDI,чёрный,1.8,170,бензин,79720,2013,A4,4.0,1102703799,вариатор,Оригинал,передний,Левый,923000,1
седан,AUDI,чёрный,1.8,120,бензин,98100,2014,A4,4.0,1101889217,вариатор,Оригинал,передний,Левый,895000,1
внедорожник 5 дв.,BMW,бежевый,4.8,355,бензин,180000,2008,X5,5.0,1102593943,автоматическая,Оригинал,полный,Левый,1190000,1
внедорожник 5 дв.,BMW,чёрный,3.0,249,дизель,14000,2019,X7,5.0,1102532570,автоматическая,Оригинал,полный,Левый,7770000,1
внедорожник 5 дв.,BMW,чёрный,3.0,306,бензин,100950,2010,X6,5.0,1102176802,автоматическая,Оригинал,полный,Левый,1480000,1
купе,BMW,жёлтый,3.0,431,бензин,66000,2014,M4,2.0,1101839171,роботизированная,Оригинал,задний,Левый,3300000,1
внедорожник 5 дв.,BMW,чёрный,4.4,555,бензин,120000,2012,X5_M,5.0,1102385278,автоматическая,Оригинал,полный,Левый,1680000,1
внедорожник 5 дв.,BMW,коричневый,2.0,150,бензин,176000,2011,X1,5.0,1102080146,автоматическая,Оригинал,задний,Левый,705000,1
внедорожник 5 дв.,BMW,серый,3.0,510,бензин,6662,2019,X4_M,5.0,1102048902,автоматическая,Оригинал,полный,Левый,5900000,1
